time,x1,x2
0.0,2.5,0.0
0.05,2.467963456734045,2.26327591593241e-07
0.1,2.43605830734135,4.644680829720169e-07
0.15000000000000002,2.4042864362299605,7.153407649311793e-07
0.2,2.372649756867223,9.799440549181698e-07
0.25,2.3411502119794902,1.2593630010564066e-06
0.30000000000000004,2.309789773730947,1.554777561740614e-06
0.35000000000000003,2.278570443879653,1.8674717473012466e-06
0.4,2.247494253908781,2.198843720556704e-06
0.45,2.216563265130932,2.5504169647017108e-06
0.5,2.185779568763257,2.9238526400930256e-06
0.55,2.155145285971034,3.3209632662890106e-06
0.6000000000000001,2.1246625678771833,3.7437278824051905e-06
0.65,2.094333595535099,4.194308857723651e-06
0.7000000000000001,2.0641605798620293,4.675070545836923e-06
0.75,2.0341457615301044,5.188599999756355e-06
0.8,2.0042914108119705,5.737729992759277e-06
0.8500000000000001,1.974599827377846,6.325564620733111e-06
0.9,1.9450733400406768,6.955507796907195e-06
0.9500000000000001,1.9157143064459148,7.63129498972823e-06
1.0,1.8865251127023068,8.357028599902404e-06
1.05,1.8575081729499312,9.137217424064573e-06
1.1,1.8286659288615787,9.976820711024834e-06
1.1500000000000001,1.8000008490734327,1.0881297383098901e-05
1.2000000000000002,1.7715154285408659,1.1856661070816645e-05
1.25,1.7432121878150393,1.29095416956635e-05
1.3,1.7150936722358634,1.4047254433985824e-05
1.35,1.6871624510367604,1.527787700756088e-05
1.4000000000000001,1.6594211163565629,1.6610336374643622e-05
1.4500000000000002,1.631872282153784,1.8054506041917402e-05
1.5,1.604518583018415,1.9621315385418753e-05
1.55,1.5773626728763344,2.1322872560322722e-05
1.6,1.5504072235813742,2.3172602799095962e-05
1.6500000000000001,1.5236549233900554,2.518540414914676e-05
1.7000000000000002,1.4971084753140076,2.7377822989574238e-05
1.75,1.4707705953451173,2.9768251997552833e-05
1.8,1.4446440105485043,3.237715361477252e-05
1.85,1.418731457018521,3.522731250070164e-05
1.9000000000000001,1.393035677693107,3.834412096094537e-05
1.9500000000000002,1.3675594200220018,4.175590191571272e-05
2.0,1.3423054334845475,4.549427463705181e-05
2.0500000000000003,1.3172764669530899,4.959456924759567e-05
2.1,1.2924752658983203,5.4096296853762646e-05
2.15,1.2679045694332955,5.904368320086462e-05
2.2,1.2435671071933407,6.448627490748249e-05
2.25,1.219465596049572,7.047962868623756e-05
2.3000000000000003,1.1956027366543935,7.708609551609586e-05
2.35,1.1719812098180207,8.43757135305055e-05
2.4000000000000004,1.1486036727158646,9.24272254641647e-05
2.45,1.1254727549274972,0.00010132923890332191
2.5,1.1025910543088948,0.00011118155036155413
2.5500000000000003,1.079961132700741,0.00012209665741444494
2.6,1.0575855114767667,0.00013420148684141148
2.6500000000000004,1.0354666669374113,0.000147639371020899
2.7,1.0136070255555176,0.00016257230979857892
2.75,0.9920089590823229,0.0001791835608037342
2.8000000000000003,0.9706747795236853,0.00019768060784984928
2.85,0.9496067339982922,0.00021829856476350562
2.9000000000000004,0.9288069994915349,0.00024130408090438776
2.95,0.9082776775208088,0.0002669998249561299
3.0,0.8880207887302072,0.00029572963549776335
3.0500000000000003,0.8680382674349227,0.0003278844406540367
3.1,0.8483319561381547,0.0003639090650490184
3.1500000000000004,0.8289036000459364,0.00040431006066726
3.2,0.8097548416080543,0.00044966471941635213
3.25,0.7908872151161093,0.0005006314495819407
3.3000000000000003,0.7723021413927889,0.0005579617264123044
3.35,0.7540009226095505,0.0006225138592478008
3.4000000000000004,0.7359847372731695,0.0006952688544427811
3.45,0.7182546354249643,0.0007773486953663602
3.5,0.7008115340999687,0.0008700374085822913
3.5500000000000003,0.6836562130968565,0.0009748053394587117
3.6,0.6667893111130265,0.0010933371214644969
3.6500000000000004,0.6502113223028873,0.0012275638916934188
3.7,0.633922593321023,0.0013797003809706933
3.75,0.6179233209155041,0.0015522875902078297
3.8000000000000003,0.6022135501400863,0.001748241855016655
3.85,0.5867931732573157,0.0019709111968656007
3.9000000000000004,0.5716619294075125,0.0022241399592293786
3.95,0.5568194051210806,0.0025123428279120244
4.0,0.5422650357533672,0.0028405894308752874
4.05,0.5279981079220841,0.0032147007968911998
4.1000000000000005,0.5140177630267305,0.0036413590132944136
4.15,0.5003230019269994,0.004128231445864367
4.2,0.4869126908521866,0.004684110847689866
4.25,0.4737855686052804,0.005319072561010439
4.3,0.4609402551126523,0.00604464977010273
4.3500000000000005,0.44837526135175043,0.0068740273476149355
4.4,0.43608900066330264,0.007822254192973983
4.45,0.42407980141931556,0.008906473018774334
4.5,0.4123459209713722,0.010146165216758813
4.55,0.4008855607428959,0.011563406637730625
4.6000000000000005,0.389696882251596,0.013183127756377975
4.65,0.37877802375185543,0.015033368680640596
4.7,0.3681271170696291,0.017145515756350205
4.75,0.35774230406408297,0.019554502125916143
4.800000000000001,0.3476217519926157,0.022298949647026396
4.8500000000000005,0.33776366688451537,0.02542122434871527
4.9,0.3281663038538316,0.028967372606956105
4.95,0.31882797312121436,0.03298690124942777
5.0,0.30974704039251066,0.03753236294708916
5.050000000000001,0.30092192019208747,0.04265870989405891
5.1000000000000005,0.2923510608113604,0.04842238543971191
5.15,0.28403291975097733,0.05488013642147417
5.2,0.2759659289471582,0.062087549321928184
5.25,0.26814844970197993,0.07009734084423026
5.300000000000001,0.26057871807813665,0.07895746628056471
5.3500000000000005,0.2532547825232764,0.08870914344017475
5.4,0.2461744365601088,0.09938492041395137
5.45,0.23933515037206507,0.11100693555852176
5.5,0.2327340058574399,0.12358552164814687
5.550000000000001,0.2263676400488333,0.13711828921377195
