t,x3,dx3_dt,x1,x2
0.0,0.0,0.0,1.0,0.0
0.030612244897959183,0.0004590936041713836,0.029689343218696256,0.9698515631771323,0.029689343218696256
0.061224489795918366,0.0017994353530175835,0.057588509548058546,0.9406120550989238,0.057588509548058546
0.09183673469387754,0.003967485877005892,0.08377843772366048,0.9122540763993335,0.08377843772366048
0.12244897959183673,0.006911981625398569,0.1083370015589667,0.8847510168156346,0.1083370015589667
0.15306122448979592,0.010583372404427702,0.13133970963251693,0.8580769179630553,0.13133970963251693
0.18367346938775508,0.014935763502068251,0.15285729102122048,0.8322069454767113,0.15285729102122048
0.21428571428571427,0.019925365493199697,0.17295762883408755,0.8071170056727126,0.17295762883408755
0.24489795918367346,0.025510089489319827,0.19170626427410553,0.7827836462365746,0.19170626427410553
0.2755102040816326,0.0316495471385447,0.2091663966382385,0.7591840562232167,0.2091663966382385
0.30612244897959184,0.03830505062560872,0.2253988833174279,0.7362960660569633,0.2253988833174279
0.336734693877551,0.04543961267186454,0.24046223979659181,0.7140981475315434,0.24046223979659181
0.36734693877551017,0.05301794653528316,0.2544126396546256,0.692569413810091,0.2544126396546256
0.3979591836734694,0.061006466010453876,0.26730391456440156,0.6716896194251443,0.26730391456440156
0.42857142857142855,0.06937172926633584,0.2791895282200642,0.6514387425135999,0.2791895282200642
0.45918367346938777,0.07808287970334066,0.2901195149165185,0.6317976053801407,0.2901195149165185
0.4897959183673469,0.08711327148774883,0.3001384107591923,0.6127483177530588,0.3001384107591923
0.5204081632653061,0.09643715783653664,0.3092894348011968,0.5942734073622664,0.3092894348011968
0.5510204081632653,0.10602967361504163,0.31761451105197797,0.5763558153329803,0.31761451105197797
0.5816326530612245,0.11586683533696293,0.32515426847731643,0.5589788961857206,0.32515426847731643
0.6122448979591837,0.1259255411643609,0.3319480409993273,0.5421264178363118,0.3319480409993273
0.6428571428571428,0.13618357090765731,0.3380338674964605,0.525782561595882,0.3380338674964605
0.673469387755102,0.14661958602563546,0.34344849180350073,0.5099319221708636,0.34344849180350073
0.7040816326530612,0.15721312962543993,0.3482273627115672,0.49455950766299267,0.3482273627115672
0.7346938775510203,0.16794462646257663,0.35240463396811383,0.47965073956930937,0.35240463396811383
0.7653061224489796,0.17879538294091304,0.3560131642769292,0.46519145278215757,0.3560131642769292
0.7959183673469388,0.1897475871126779,0.3590845172981366,0.45116789558918524,0.3590845172981366
0.826530612244898,0.20078430867846137,0.36164896164819393,0.4375667296733444,0.36164896164819393
0.8571428571428571,0.2118894657263947,0.3637355156099215,0.42437501866368377,0.3637355156099215
0.8877551020408163,0.22304627093165522,0.36537410152911165,0.4115796275392331,0.36537410152911165
0.9183673469387755,0.23424192582141942,0.36658937084901433,0.3991687033295662,0.36658937084901433
0.9489795918367346,0.24546591067017803,0.3674028332446402,0.38713125608518173,0.3674028332446402
0.9795918367346939,0.25670801428606105,0.36783546563916997,0.375456520074769,0.36783546563916997
1.010204081632653,0.2679583340108374,0.36790771220395446,0.3641339537852081,0.36790771220395446
1.0408163265306123,0.27920727571991566,0.3676394843585148,0.35315323992156955,0.3676394843585148
1.0714285714285714,0.29044555382234283,0.36705016077054214,0.34250428540711503,0.36705016077054214
1.1020408163265305,0.3016641912608057,0.3661585873558978,0.3321772213832965,0.3661585873558978
1.1326530612244898,0.3128545195116301,0.3649830772786133,0.3221624032097566,0.3649830772786133
1.163265306122449,0.3240081785847807,0.3635414109508902,0.3124504104643291,0.3635414109508902
1.193877551020408,0.3351171170238616,0.3618508360331004,0.3030320469430379,0.3618508360331004
1.2244897959183674,0.34617359190611624,0.35992806743378575,0.29389834066009796,0.35992806743378575
1.2551020408163265,0.3571701688424267,0.3577892873096584,0.2850405438479148,0.3577892873096584
1.2857142857142856,0.36809972197731466,0.3554501450656006,0.27645013295708465,0.3554501450656006
1.316326530612245,0.378955433988941,0.35292575735466464,0.26811880865639426,0.35292575735466464
1.346938775510204,0.38973079608910527,0.35023070807807316,0.2600384958328215,0.35023070807807316
1.3775510204081631,0.40041960802324666,0.3473790483852188,0.25220134359153445,0.3473790483852188
1.4081632653061225,0.41101597807044343,0.34438429667366444,0.24459972525589205,0.34438429667366444
1.4387755102040816,0.42151432304341274,0.3412594385891431,0.23722623836744403,0.3412594385891431
1.4693877551020407,0.43190962702110114,0.33801681629036845,0.23007355668853047,0.33801681629036845
1.5,0.44219919587623374,0.33466581701627507,0.22313498710749124,0.33466581701627507
1.6,0.4750550531693105,0.32305563043472174,0.20188931639596774,0.32305563043472174
1.7714285714285716,0.5285611435103026,0.3013660062790215,0.17007285021067597,0.3013660062790215
1.942857142857143,0.5783073678780952,0.27840055178728285,0.14329208033462204,0.27840055178728285
2.1142857142857143,0.6241016338010991,0.25516409718000455,0.12073426901889642,0.25516409718000455
2.2857142857142856,0.6658572752522718,0.23244003640281863,0.10170268834490959,0.23244003640281863
2.4571428571428573,0.7037712387124702,0.21056321201422062,0.08566554927330927,0.21056321201422062
2.6285714285714286,0.7380747064483377,0.18975143814920048,0.0721738554024618,0.18975143814920048
2.8,0.7689634814893022,0.1702144679506472,0.06082205056005058,0.1702144679506472
2.9714285714285715,0.7966003130503422,0.1521514363981518,0.051248250551506024,0.1521514363981518
3.1428571428571432,0.8212227277621857,0.13561435544882164,0.043162916788992554,0.13561435544882164
3.3142857142857145,0.8431366434865925,0.12050914088864065,0.036354215624766914,0.12050914088864065
3.4857142857142858,0.8626042656530761,0.10676458046280254,0.03063115388412136,0.10676458046280254
