t,x1,x2,x3,x6,x7,x5,x4
0.0,1.1969342830602248,0.18458709354469283,0.07166102486350555,2.4872074053086695,0.06799869057041513,0.06725749232470608,0.09952421601792855
0.05,1.2776415311219562,0.1871186695910656,0.06538014192747177,2.374069548615287,0.09075204233155748,0.06077982374264502,0.08244822129687865
0.1,1.3796021795532238,0.19082364023424464,0.014259458877973575,2.265930822043906,0.06075847806877481,0.05118823191710177,0.06577129578103942
0.15,1.4742307793704803,0.2283551684425128,0.023134604255855343,2.1718617379826783,0.08574862466659454,0.06558246338760633,0.12752924217909498
0.2,1.5046668810842634,0.27682885416546077,0.0543905439790466,2.0132862303432635,0.09995605786494088,0.044539755764425246,0.10931889272211476
0.25,1.5556476412898663,0.3575349990528986,0.05836646522888407,1.9120652897867507,0.11884297052102098,0.06360501881713408,0.0962070533999318
0.3,1.6243158139912879,0.39075661788569177,0.06400680351094466,1.769980927078762,0.13522090495339179,0.05479753937667806,0.1066867502426394
0.35,1.6164596256788581,0.48041797620305426,0.13809560038909893,1.6371123374215357,0.11154583100912162,0.04928448203961781,0.08518968316599147
0.4,1.5678182448672708,0.5900171347929306,0.08178598574136545,1.5199543194874139,0.11627505184323954,0.03492517471490185,0.16673219576929152
0.45,1.5168312089944291,0.7146899939629542,0.10513386538991398,1.3461738776498506,0.18486862157731518,0.04144780051330995,0.13541266531576557
0.5,1.3371399455509108,1.0170492186608757,0.11847312193414045,1.1008576972380528,0.17842735962606682,0.06915021493624013,0.15848096552710486
0.55,0.741911031810272,1.9729371341336206,0.15005660945549296,0.21881084090027758,0.18095915319480693,0.06707074903641182,0.22755275767293584
0.6,0.4212093540261617,2.1914892169797056,0.15907262416418508,0.2093065773827092,0.22336869624925346,0.045049234486938775,0.30847868855267824
0.65,0.14048591438276403,2.0992531048121275,0.19552265197127536,0.49770990767074624,0.18090643995078917,0.07686673504500911,0.34815770112863964
0.7,0.15342133338056835,1.672130839592542,0.16880269360074257,1.134733970802391,0.18478772209571254,0.10009392920046228,0.3275665952893458
0.75,0.2731021541459655,1.225616894344645,0.17369511872544982,1.739199828030319,0.14577463006986818,0.059167234828190564,0.3185979129167359
0.8,0.3724610302787965,0.8763204509166184,0.1573450946568009,2.1400295684094464,0.17231002779224575,0.10748495842112091,0.3060787441923097
0.85,0.5103167727044905,0.6879611296247654,0.15309367509790947,2.409182506480004,0.1547483720051021,0.08449941351112077,0.25892642275089756
0.9,0.5977097862720957,0.5135310102903354,0.17925626497307517,2.576733587931668,0.10425999941276252,0.10814858791543398,0.23414944477634997
0.95,0.6988500819435481,0.3972268423347459,0.07587441876192703,2.6278259983687304,0.11920403552843241,0.07900504430209697,0.16836310151184328
1.0,0.866227258355899,0.28234944648273325,0.10770546810230437,2.707578201085719,0.10440121340992985,0.05478150599677782,0.13972468922092637
1.05,0.9400720037237633,0.274587454776078,0.04457501073056887,2.623753022771186,0.11215541902456998,0.05438208656494834,0.14121561351001405
1.1,1.0506581222106386,0.18494211420932638,0.05342759075118912,2.5650269454163155,0.06074465607001501,0.08364395968028235,0.13150530753924888
1.15,1.121617047204841,0.20738939002264542,0.07432020515131182,2.533703074166801,0.09134598756171709,0.08349698890211524,0.14111045064172997
1.2,1.2349382788438963,0.23573722678750958,0.04710894103728675,2.430244631609699,0.09886054381608456,0.05585781237737952,0.0761967726261476
1.25,1.3372137184806172,0.18060416024860124,0.020781451952672374,2.318962137378733,0.04527434229316231,0.08250007610344479,0.13364090666541828
1.3,1.392798578816894,0.20935364963916556,0.027236851086837932,2.2036262261404356,0.062282109170334096,0.0325373891757625,0.09527591911486911
1.35,1.4935805676814735,0.25506839891463085,0.05659634291742842,2.0707631573007617,0.053242614323952185,0.06084972048078597,0.08765718654429261
1.4,1.5309289663980539,0.288661949642584,0.03173287228648847,1.9300128791202933,0.09894834348567584,0.03481174482762076,0.07616212354809615
1.45,1.5770243935428245,0.3286788450964054,0.055710851522453496,1.8235443310484745,0.13066896284718124,0.04339682291113912,0.06603409562607682
1.5,1.588969767547852,0.44076320131167057,0.058980132716448475,1.6782568828264077,0.15927588854980956,0.055403371607584385,0.12109453887832129
1.55,1.6274482097738987,0.5226280228788479,0.05356639870335546,1.5727386714891851,0.1437562674998365,0.03597971622268145,0.11482513296800108
1.6,1.5390853158516213,0.6949418407943386,0.12038636001487601,1.3937421596114272,0.18742610805705384,0.04506161917542929,0.10052732034682293
